0,"[0.41983383 0.20889645 0.14151178 0.23283545 0.23018418 0.14081675
 0.26430167 0.35721797 0.3453424  0.34190474 0.31754419 0.15273002
 0.11943531 0.12309725 0.12441616 0.17427457 0.25997239 0.07427576
 0.11180511 0.26166452 0.39710351 0.22744381 0.23444164 0.34965537
 0.45891891 0.35622535 0.20131046 0.16721445 0.12250931 0.15958245
 0.07237972 0.08707217 0.03623466 0.         0.03897634 0.03032451
 0.06412842 0.         0.02802323 0.37015531 0.78371484 0.06093972
 0.02602988 0.14934903 0.22861331 0.37716428 0.12368271 0.06013304]",ragdoll,['siamese']
1,"[0.40536956 0.13285154 0.20561057 0.14763116 0.17071971 0.11610111
 0.32079562 0.3256783  0.30693363 0.32262226 0.3441199  0.21991139
 0.14830479 0.17164158 0.23960684 0.1685674  0.44638575 0.16825135
 0.27582866 0.16977343 0.32909989 0.10498818 0.2536062  0.32619724
 0.32127496 0.20334907 0.40880027 0.07395745 0.12157962 0.13233091
 0.15344645 0.06694843 0.41634294 0.20578809 0.16275305 0.05060512
 0.23370546 0.03450561 0.59295762 0.3425467  0.1553237  0.
 0.12030965 0.05382857 0.03827012 0.2300578  0.30387009 0.2056427 ]",ragdoll,['ragdoll']
2,"[0.14837142 0.04919191 0.07235498 0.11153863 0.10198718 0.11996922
 0.24139587 0.40696685 0.36159389 0.34075678 0.28299662 0.37794673
 0.33131121 0.25247542 0.21530863 0.13977509 0.00371136 0.00168272
 0.1086169  0.26690998 0.21026223 0.10033001 0.23642874 0.27597271
 0.53523203 0.43290713 0.20658281 0.4525009  0.07574599 0.0585011
 0.00254872 0.01128116 0.04298181 0.         0.05522119 0.
 0.04455002 0.         0.06878069 0.17288715 0.32432035 0.69396915
 0.37332219 0.30139415 0.3696918  0.04168129 0.         0.05571001]",ragdoll,['ragdoll']
3,"[0.44962217 0.10210108 0.05763299 0.14088329 0.18812518 0.20602486
 0.27213448 0.24569396 0.35623719 0.33710543 0.38142354 0.14175773
 0.06918976 0.25875797 0.23204548 0.14238466 0.78927931 0.11367502
 0.06737603 0.07611817 0.03301444 0.09364894 0.29534268 0.11934784
 0.4181608  0.1838887  0.08358193 0.05310664 0.0233839  0.10564861
 0.0797256  0.07685701 0.89869179 0.20595104 0.01897685 0.03223482
 0.         0.         0.03409414 0.01713173 0.31507528 0.2129531
 0.         0.01240015 0.         0.02060638 0.0380588  0.0208282 ]",siamese,['siamese']
4,"[0.33527148 0.16309977 0.13095662 0.17210047 0.11552241 0.17878281
 0.26066245 0.25360714 0.26814893 0.23843159 0.44695699 0.32625065
 0.21022913 0.22482739 0.25888236 0.1998145  0.24335246 0.19148865
 0.22426989 0.25493365 0.28741341 0.22460058 0.29732697 0.25323353
 0.27035394 0.14885608 0.36539254 0.30418073 0.31622701 0.14292179
 0.1808052  0.16981576 0.07191284 0.         0.01785572 0.02568648
 0.         0.12586408 0.03601195 0.31643446 0.03374592 0.17731727
 0.46270515 0.37643728 0.30584333 0.28870285 0.34132828 0.44136694]",siamese,['ragdoll']
5,"[0.4635503  0.20388045 0.16693995 0.14853558 0.18451743 0.25422495
 0.37765182 0.2775754  0.29938291 0.29914083 0.31948866 0.15749068
 0.10788822 0.11509279 0.12385997 0.1704609  0.51775112 0.40075175
 0.21630614 0.08717757 0.12251266 0.18461181 0.20898664 0.13551379
 0.27928504 0.43507043 0.30326692 0.1438524  0.04969751 0.08989341
 0.11228731 0.0519943  0.49841055 0.46405832 0.59610693 0.16943467
 0.18660622 0.15905501 0.27697558 0.04525809 0.09818084 0.
 0.02073298 0.00759587 0.         0.0389897  0.01719149 0.03685498]",siamese,['rblue']
6,"[0.17306704 0.08621909 0.11421286 0.24464686 0.34143683 0.32831397
 0.41720601 0.41171329 0.3020616  0.3380885  0.26174739 0.16218329
 0.08336713 0.06077162 0.06110166 0.08392083 0.22644032 0.12706162
 0.13433795 0.19502429 0.31689988 0.44253138 0.42323762 0.4394598
 0.2545778  0.25193    0.16880505 0.17166823 0.0869286  0.06172193
 0.04391789 0.09190076 0.37389973 0.20003093 0.27152793 0.30420174
 0.1159296  0.27182144 0.50244818 0.42334822 0.3016901  0.015277
 0.08276272 0.03729151 0.04242924 0.03847239 0.03491093 0.1758587 ]",siamese,['rblue']
7,"[0.27096155 0.12733885 0.25573573 0.15825371 0.15918667 0.11986052
 0.27485818 0.32290287 0.2922516  0.22808154 0.39921623 0.42652729
 0.12472178 0.2078031  0.15957701 0.19356044 0.2276041  0.05211818
 0.09724672 0.05842242 0.30074198 0.09638792 0.34041368 0.36031961
 0.24976468 0.15695288 0.5514101  0.41661266 0.07255044 0.08490879
 0.09597249 0.02902232 0.86079077 0.1341173  0.36292772 0.03800046
 0.         0.         0.0890665  0.07062143 0.08401952 0.01662846
 0.03832741 0.09530474 0.11769348 0.07827936 0.20512767 0.1225825 ]",siamese,['ragdoll']
8,"[0.4327389  0.12350684 0.04308563 0.08192553 0.08303433 0.13817306
 0.4536298  0.28848576 0.35650913 0.19816227 0.30157581 0.20448961
 0.16505544 0.18328156 0.14799328 0.30340728 0.08454937 0.0196073
 0.04238271 0.09893216 0.17423949 0.14555558 0.45937769 0.30797151
 0.28514887 0.33031078 0.65392692 0.04106329 0.03239024 0.01213734
 0.02561728 0.0434577  0.41302546 0.21291848 0.         0.01845303
 0.10125514 0.04218819 0.54426733 0.2627092  0.55703132 0.08806519
 0.10827302 0.01360389 0.14835078 0.18768669 0.1103238  0.08430073]",siamese,['siamese']
9,"[0.35363282 0.1044615  0.08073467 0.06790392 0.07045978 0.12230434
 0.37515268 0.3030509  0.35791456 0.34833859 0.29707875 0.26884247
 0.1978332  0.17309832 0.2742601  0.21472311 0.08695005 0.09516583
 0.12480956 0.10164702 0.09485958 0.10656109 0.55024833 0.3320228
 0.2106949  0.13405084 0.249689   0.11958476 0.15381482 0.2618052
 0.50740904 0.18824362 0.19743074 0.         0.08064255 0.11977561
 0.12332434 0.25402067 0.79714097 0.36081704 0.00642712 0.01545991
 0.07120892 0.10114618 0.16749296 0.20671232 0.09191395 0.        ]",siamese,['ragdoll']
